Name	Set	ImageFile	Name DE	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Magic Mirror	1	59129aacfb6cebbe2c52f30ef3424209f7252e82	Wunderspiegel	Item		RARE	AMETHYST	2	False					1 TFC DE 66/204	SPRICH! Ziehe 1 Karte.	Was wollt Ihr wissen, oh Konigin?	66	Andrew Trabbold
Ursula's Cauldron	1	4d89d294cd4ca9f2ca57dc24a53ffb3ef5303122	Ursulas Kessel	Item		UNCOMMON	AMETHYST	2	False					1 TFC DE 67/204	BLICKE IN DIE TIEFE Schaue dir die obersten 2 Karten deines Decks an. Lege 1 davon auf dein Deck und die andere unter dein Deck.	Perfekt, um Tranke zu brauen und Stimmen zu stehlen.	67	Oleg Yurkov
White Rabbit's Pocket Watch	1	b4c96d80854dd27e76d8cc9e21960eebda52e962	Taschenuhr des weissen Kaninchens	Item		RARE	AMETHYST	3	True					1 TFC DE 68/204	ZU SPAT! Ein Charakter deiner Wahl erhalt in diesem Zug Rasant. (Der Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.)	Kein Wunder, dass du zu spat dran bist. Die alte Kartoffel geht ja zwei Tage nach. -- Der verruckte Hutmacher	68	Kamil Murzyn
Aladdin, Prince Ali	1	a72b20062ec2c47ab2ceb97ac1bee818f8b6c6cb	Aladdin, Prinz Ali	Character	Held, Prinz, Sagengestalt	COMMON	EMERALD	2	True	2	2	1	Behutet	1 TFC DE 69/204	Behutet (Gegnerische Karten konnen diesen Charakter nicht auswahlen, ausser um ihn herauszufordern.)	Sagenhaft wohlhabend. Praktisch unantastbar. Wahrhaftig unaufrichtig.	69	Lauren Walsh
Beast, Wolfsbane	1	b7103ca278a75cad8f7d065acda0c2e80da0b7dc	Biest, Schrecken der Wolfe	Character	Held, Prinz, Traumgestalt	LEGENDARY	EMERALD	5	False	4	4	2	Rasant	1 TFC DE 70/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.) BRULLEN Wenn du diesen Charakter ausspielst, erschopfe alle gegnerischen beschadigten Charaktere.	Ich werde es mit euch allen aufnehmen, wenn es sein muss!	70	Jeff Murchie
Cheshire Cat, Not All There	1	d02560dd9d7db4467627745bd6701e809ffca6e3	Grinsekatze, Nicht ganz da	Character	Sagengestalt	UNCOMMON	EMERALD	3	True	0	3	2		1 TFC DE 71/204	DA BIN ICH! Wenn dieser Charakter herausgefordert und verbannt wird, verbanne den herausfordernden Charakter.	Hast du nicht gemerkt, dass ich sie nicht alle beieinander habe, mein Liebling?	71	Caner Soylu
Cruella De Vil, Miserable as Usual	1	c097638f92de80ba8d6c696b26e6e601a5f61eb7	Cruella De Vil, Miserabel wie immer	Character	Sagengestalt, Schurkin	RARE	EMERALD	2	True	1	3	1		1 TFC DE 72/204	ERRATA: DAS WIRD EUCH NOCH LEIDTUN! Wenn dieser Charakter herausgefordert und verbannt wird, darfst du einen Charakter deiner Wahl zuruck auf die zugehorige Hand schicken.	Wenn sie erscheint, ist Unheil nicht fern.	72	Nicholas Kole
Duke of Weselton, Opportunistic Official	1	35e995c107a71caeb833bb3b79f9f54781b33fa1	Herzog von Pitzbuhl, Opportunistischer Funktionar	Character	Sagengestalt, Schurke	COMMON	EMERALD	1	True	2	2	1		1 TFC DE 73/204		Hexerei! Hab ich's doch gewusst. In diesem Land hier stimmt etwas nicht.	73	R. La Barbera / L. Giammichele
Flynn Rider, Charming Rogue	1	1f1362ea41d1bc65be321c0a378a20159f9a26d0	Flynn Rider, Charmanter Gauner	Character	Held, Prinz, Sagengestalt	UNCOMMON	EMERALD	2	True	1	2	2		1 TFC DE 74/204	WER KANN HIERZU SCHON NEIN SAGEN? Jedes Mal, wenn dieser Charakter herausgefordert wird, wahlt die herausfordernde Person 1 Karte aus ihrer Hand und wirft sie ab.	Eigentlich wollte ich das nicht tun, aber du lasst mir keine andere Wahl ...	74	Leonardo Giammichele
Genie, On the Job	1	450ddec8dd206c2e2ab1aeeaa90e85e51753b8b7	Dschinni, Bei der Arbeit	Character	Verbundeter, Sagengestalt	SUPER	EMERALD	6	False	3	4	2	Wendig	1 TFC DE 75/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.) VERSCHWINDEN Wenn du diesen Charakter ausspielst, darfst du einen Charakter deiner Wahl zuruck auf die zugehorige Hand schicken.	Wunsch dir mal ,Abrakadabra', Fetzen fliegen und auf einmal sind sie nicht mehr da!	75	Giulia Riva
Genie, Powers Unleashed	1	d54ad009d179ae346683cfc3603979bc99339ef7	Dschinni, Entfesselte Energie	Character	Flutgestalt, Held	RARE	EMERALD	8	False	3	5	3	Gestaltwandel, Wendig	1 TFC DE 76/204	Gestaltwandel 6 (Du kannst 6 zahlen, um diesen Charakter auf einen deiner Dschinni-Charaktere auszuspielen.) Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.) KOSMISCHE KRAFTE! Jedes Mal, wenn dieser Charakter erkundet, darfst du eine Aktion, die 5 oder weniger kostet, kostenlos ausspielen.		76	Javier Salas
Genie, The Ever Impressive	1	d321d6f7ccf98b51540ec9d933f20898af3bd71e	Dschinni, Stets eindrucksvoll	Character	Verbundeter, Traumgestalt	COMMON	EMERALD	2	True	2	3	1		1 TFC DE 77/204		Du kannst dir fast alles wunschen! Willst du die kurze Version oder soll ich dir das ganze Lied und den Tanz geben?	77	Matt Chapman
Hans, Scheming Prince	1	eb4ac3033e8ab3591e0fcefa8c26ce3fd36d5a0f	Hans, Hinterhaltiger Prinz	Character	Prinz, Schurke, Sagengestalt	RARE	EMERALD	4	True	3	3	3		1 TFC DE 78/204		Regeln sind wie altere Geschwister. Sie sind nur im Weg.	78	Massimiliano Narciso
Horace, No-Good Scoundrel	1	b74f5ee9461495ba5ca4c72a7108a23904c27a05	Horace, Nichtsnutziger Halunke	Character	Verbundeter, Sagengestalt	COMMON	EMERALD	3	True	4	3	1		1 TFC DE 79/204		In diesem Stall sind sie nicht, Jasper.	79	Isaiah Mesq
Iago, Loud-Mouthed Parrot	1	b888b29826bb53dc531437e723738383d8339b56	Jago, Grossmauliger Papagei	Character	Verbundeter, Sagengestalt	RARE	EMERALD	3	True	1	4	1		1 TFC DE 80/204	HAST DU'N PROBLEM? Ein Charakter deiner Wahl erhalt in seinem nachsten Zug Impulsiv. (Der Charakter kann nicht erkunden und muss herausfordern, wenn moglich.)		80	Brian Weisz
Jasper, Common Crook	1	1d513c0bcbe33b2e7440e5e14d0b22ef95c9d673	Jasper, Gewohnlicher Ganove	Character	Verbundeter, Sagengestalt	UNCOMMON	EMERALD	3	True	2	4	1		1 TFC DE 81/204	WELPEN-ENTFUHRUNG Jedes Mal, wenn dieser Charakter erkundet, wahle einen gegnerischen Charakter. Er kann in seinem nachsten Zug nicht erkunden.	Seit wann denkst du denn? Zum Denken gehort ein Kopf und kein Kurbis.	81	Jochem Van Gool
John Silver, Alien Pirate	1	76546f9a641ede2beab506b96df1688d889e629a	John Silver, Ausserirdischer Pirat	Character	Sagengestalt, Kapitan, Schurke, Alien, Pirat	LEGENDARY	EMERALD	6	True	5	5	2		1 TFC DE 82/204	STREIT ANFANGEN Wenn du diesen Charakter ausspielst und jedes Mal, wenn er erkundet, erhalt ein gegnerischer Charakter deiner Wahl in seinem nachsten Zug Impulsiv. (Er kann nicht erkunden und muss herausfordern, wenn moglich.)	Lass dir von meinem Eisenwarenladen keine Angst einjagen, Jungchen.	82	Duyen Nguyen / Jared Nickerl
Jumba Jookiba, Renegade Scientist	1	7d7116e23efef7292cad5e6f033d9a962708228c	Jamba Jookiba, Abtrunniger Wissenschaftler	Character	Alien, Traumgestalt, Erfinder	UNCOMMON	EMERALD	5	True	4	5	2		1 TFC DE 83/204		Etwas geschaffen? Ha, das ware nicht verantwortlich und gegen jede Ethik! Ich wurde niemals, nie ... produzieren mehr als eins?	83	Milica Celikovic
Kuzco, Temperamental Emperor	1	be461a0cd1fda052a69c3fd94f8cf5f6f86afa34	Kusco, Temperamentvoller Konig	Character	Sagengestalt, Konig	RARE	EMERALD	5	False	2	4	3	Behutet	1 TFC DE 84/204	Behutet (Gegnerische Karten konnen diesen Charakter nicht auswahlen, ausser um ihn herauszufordern.) NICHT ANFASSEN! Wenn dieser Charakter herausgefordert und verbannt wird, darfst du den herausfordernden Charakter verbannen.	Ich habe nach Smaragd gefragt und das ist eindeutig Jade! Was ist bloss los mit euch Leuten?	84	Grace Tran
Lady Tremaine, Wicked Stepmother	1	1352246e33277e9d3c9090a434fa72cfa6536ae2	Grafin Tremaine, Bose Stiefmutter	Character	Traumgestalt, Schurkin	RARE	EMERALD	6	False	1	5	1		1 TFC DE 85/204	MACH ES NOCH MAL! Wenn du diesen Charakter ausspielst, darfst du 1 Aktionskarte aus deinem Ablagestapel zuruck auf deine Hand nehmen.	Wenn deine Aufgaben erledigt sind, dann hast du eindeutig nicht genug davon.	85	Leonardo Giammichele
Mad Hatter, Gracious Host	1	3c26dffc8a2e8804dfe2c8a1195cfaa5ef6d0014	Der verruckte Hutmacher, Generoser Gastgeber	Character	Sagengestalt	UNCOMMON	EMERALD	5	True	2	4	3		1 TFC DE 86/204	TEE-PARTY Jedes Mal, wenn dieser Charakter herausgefordert wird, darfst du 1 Karte ziehen.	Der verruckte Hutmacher: Magst du noch ein bisschen Tee? Alice: Ich hab ja noch gar nichts getrunken und ich hab so schrecklichen Durst.	86	Rosa la Barbera
Megara, Pulling the Strings	1	e62d7f1eb43d87c202d2f164ba61297e71be80f4	Meg, Halt die Faden in der Hand	Character	Traumgestalt, Verbundete	COMMON	EMERALD	2	True	2	1	1		1 TFC DE 87/204	WUNDERKNABE Wenn du diesen Charakter ausspielst, gib einem Charakter deiner Wahl in diesem Zug +2.	Ein Deal ist ein Deal. Aber sich zu verlieben, hatte nie Teil des Deals sein sollen.	87	Aubrey Archer
Mickey Mouse, Artful Rogue	1	b37f6ddcefad7e8657837d3177f9ef2462f98acf	Micky Maus, Gewiefter Gauner	Character	Flutgestalt, Held	SUPER	EMERALD	7	False	6	5	2	Gestaltwandel	1 TFC DE 88/204	Gestaltwandel 5 (Du kannst 5 zahlen, um diesen Charakter auf einen deiner Micky-Maus-Charaktere auszuspielen.) IRREFUHRUNG Jedes Mal, wenn du eine Aktion ausspielst, wahle einen gegnerischen Charakter. Er kann in seinem nachsten Zug nicht erkunden.	Leise wie ein ... na ja, du weisst schon.	88	Alex Accorsi / Kendall Hale
Mickey Mouse, Steamboat Pilot	1	16b06bd9b738835e2d134fe8d596e9ab0086a985	Micky Maus, Dampfschiff-Kapitan	Character	Held, Kapitan, Sagengestalt	COMMON	EMERALD	3	True	3	4	1		1 TFC DE 89/204		Auf den Flussen des Tintenreichs antwortet das Pfeifen des Dampfschiffs auf die frohlichen Melodien seines Kapitans.	89	Juan Diego Leon
Mother Gothel, Selfish Manipulator	1	2d0c8af807ef45ac17cafb2973d866ba8f38caa9	Mutter Gothel, Selbstsuchtige Strippenzieherin	Character	Sagengestalt, Schurkin	SUPER	EMERALD	6	True	3	6	2		1 TFC DE 90/204	MACH KEIN DRAMA, BLEIB BEI MAMA Solange dieser Charakter erschopft ist, konnen gegnerische Charaktere nicht erkunden.	Na toll. Und jetzt bin ich die Bose.	90	Javier Salas
Peter Pan, Never Landing	1	4cd66dfabbd964f8c6c4414b07cdb45dae692e19	Peter Pan, Landet nimmer	Character	Traumgestalt, Held	COMMON	EMERALD	3	True	3	2	1	Wendig	1 TFC DE 91/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.)	Was ist los, Hook? Kannst du nicht fliegen?	91	Koni
Tamatoa, Drab Little Crab	1	8ee51caaa2c2f4ee2e5b4b7ef5a89db7df1068d7	Tamatoa, Glanzlose kleine Krabbe	Character	Traumgestalt	UNCOMMON	EMERALD	2	True	1	4	1		1 TFC DE 92/204		Eines Tages werde ich das krabbtastischste Krustentier sein, das die Welt je gesehen hat!	92	Jeff Murchie
Tinker Bell, Most Helpful	1	08a35293e09f508494096c1c1b3819edb9df50db	Naseweis, Stets hilfsbereit	Character	Fee, Verbundete, Sagengestalt	COMMON	EMERALD	4	True	2	3	2	Wendig	1 TFC DE 93/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.) FEENGLANZ Wenn du diesen Charakter ausspielst, erhalt ein Charakter deiner Wahl in diesem Zug Wendig.		93	Caner Soylu
Do It Again!	1	215bb47da8fac3342b858ac3db09b033c6c46e0b	Mach es noch mal!	Action		RARE	EMERALD	3	False					1 TFC DE 94/204	Nimm 1 Aktionskarte aus deinem Ablagestapel zuruck auf deine Hand.	Dann schrubbst du die Terrasse, fegst die Halle und die Treppen, sauberst die Kamine und selbstverstandlich beginnst du gleich darauf mit dem Ausbessern und Bugeln der Wasche. - Grafin Tremaine	94	Ellie Horie
Mother Knows Best	1	8e63fd3e77796b102589b1ba1e4441c7982e4132	Mutter weiss mehr	Action	Lied	UNCOMMON	EMERALD	3	False					1 TFC DE 95/204	(Du kannst einen Charakter, der 3 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Schicke einen Charakter deiner Wahl auf die zugehorige Hand zuruck.	Mach kein Drama, bleib bei Mama.	95	R. La Barbera / L. Giammichele
Stampede	1	6fb84aed32facd1299ee1e77c8fd2b1a6352669e	Stampede	Action		COMMON	EMERALD	1	False					1 TFC DE 96/204	Fuge einem beschadigten Charakter deiner Wahl 2 Schaden zu.	Gnu-Herden sind wie tobende Flusse: Am besten erlebt man sie aus der Ferne.	96	Matt Chapman
Steal from the Rich	1	812ed4562d3211363a7b813aa9cd2cf042b63bb2	Nimm von den Reichen	Action		RARE	EMERALD	5	False					1 TFC DE 97/204	Jedes Mal, wenn einer deiner Charaktere in diesem Zug erkundet, verlieren alle gegnerischen Mitspielenden je 1 Legende.	Ich frage mich, wie viel der alte Prinz John fur all diese teuren Schlosser ausgegeben hat. - Little John	97	Hedvig Haggman-Sund
Sudden Chill	1	31bd9b9f5f7b338e41b56183a2f3008b541d7c84	Durchbohrender Blick	Action	Lied	COMMON	EMERALD	2	True					1 TFC DE 98/204	(Du kannst einen Charakter, der 2 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Alle gegnerischen Mitspielenden wahlen je 1 Karte aus ihrer Hand und werfen sie ab.	Cruella De Vil, Cruella De Vil, durchbohrt dich ihr Blick, dann wirst du ganz still.	98	Giulia Riva
The Beast is Mine!	1	9a79be611e0267e1d943da0737c6c51be67865a0	Das Biest gehort mir!	Action		UNCOMMON	EMERALD	3	True					1 TFC DE 99/204	Ein Charakter deiner Wahl erhalt in seinem nachsten Zug Impulsiv. (Er kann nicht erkunden und muss herausfordern, wenn moglich.)	Es ist nur fair, dass der beste Jager die ubelste Bestie bekommt. - Gaston	99	Matthew Robert Davies
Vicious Betrayal	1	310b86e0b62b828562fc91c7be5380a992b2786a	Grauenhafter Verrat	Action		COMMON	EMERALD	1	True					1 TFC DE 100/204	Gib einem Charakter deiner Wahl in diesem Zug +2.	Ein wahrer Konig nimmt die Dinge selbst in die Hand. - Scar	100	Michaela Martin
Dr. Facilier's Cards	1	dbc0f004854457f59fb16ab863a3a1722cef553f	Dr. Faciliers Karten	Item		UNCOMMON	EMERALD	2	False					1 TFC DE 101/204	IN DEN KARTEN STEHT'S weniger fur die nachste Aktion, die du in diesem Zug ausspielst.	Wirf jetzt einen Blick in deine Zukunft mit mir. - Dr. Facilier	101	Koni
Stolen Scimitar	1	c8306ae139ac98f432932286151dc0ec55580eca	Gestohlener Sabel	Item		COMMON	EMERALD	2	True					1 TFC DE 102/204	HIEB.	Manchmal muss man nehmen, was man kriegen kann.	102	Kendall Hale
Abu, Mischievous Monkey	1	934385f53d1bd0c1b8493e44d0dfd4c8e88a04bb	Abu, Freches Affchen	Character	Verbundeter, Sagengestalt	COMMON	RUBY	3	True	3	2	2		1 TFC DE 103/204		Wart's ab, Abu, eines Tages wird alles anders. Dann sind wir reich, haben einen Palast und lassen all unsere Sorgen hinter uns. - Aladdin	103	Oleg Yurkov
Aladdin, Heroic Outlaw	1	78a8efcbaaa1a9a30f9f327aa89d0b6acaaffb03	Aladdin, Heldenhafter Bandit	Character	Flutgestalt, Held	SUPER	RUBY	7	True	5	5	2	Gestaltwandel	1 TFC DE 104/204	Gestaltwandel 5 (Du kannst 5 zahlen, um diesen Charakter auf einen deiner Aladdin-Charaktere auszuspielen.) DREISTE HELDENTAT Jedes Mal, wenn dieser Charakter in deinem Zug durch eine Herausforderung einen anderen Charakter verbannt, sammelst du 2 Legenden und alle gegnerischen Mitspielenden verlieren je 2.		104	Nicholas Kole
Aladdin, Street Rat	1	e114c448f4ab8554ad14eff3d66dfeb3965ce8fc	Aladdin, Strassenjunge	Character	Sagengestalt, Held	COMMON	RUBY	3	True	2	2	1		1 TFC DE 105/204	MIR WIRD SCHON WAS EINFALLEN Wenn du diesen Charakter ausspielst, verlieren alle gegnerischen Mitspielenden je 1 Legende.	Es ist oft schwer zu erkennen, wer ein Rohdiamant ist und wer einfach nur, nun ja, rau ist.	105	Peter Brockhammer
Captain, Colonel's Lieutenant	1	7224f997fc148baa0b7f81c1eda6fcc3fd003db0	Kapitan, Colonels Leutnant	Character	Kapitan, Sagengestalt, Verbundeter	UNCOMMON	RUBY	5	True	6	5	1		1 TFC DE 106/204		Bellofonanruf! Es ist Alarm. Melden Sie sich sofort beim Colonel!	106	Brian Weisz
Captain Hook, Ruthless Pirate	1	524e05dc77239f3a15dab766aaa59a9e432efde7	Kapt'n Hook, Skrupelloser Pirat	Character	Pirat, Schurke, Kapitan, Sagengestalt	RARE	RUBY	7	False	5	5	2	Rasant	1 TFC DE 107/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.) DU FEIGLING! Solange dieser Charakter erschopft ist, erhalten gegnerische Charaktere mit Wendig zusatzlich Impulsiv. (Sie konnen nicht erkunden und mussen herausfordern, wenn moglich.)	Du weisst nicht mal was Kampfen heisst, du armer Wicht!	107	Cam Kendell
Donald Duck, Boisterous Fowl	1	17503a6b2326f09fbc4e3a7c03874c7333002038	Donald Duck, Aufbrausender Vogel	Character	Sagengestalt	UNCOMMON	RUBY	2	True	2	3	1		1 TFC DE 108/204		Wen nennst du hier aufbrausend, Freundchen?	108	Kenneth Anderson
Elsa, Ice Surfer	1	a1422e6a168630cdd214ac5e31ca01ae1bee8d92	Elsa, Eissurferin	Character	Konigin, Traumgestalt, Magierin, Heldin	COMMON	RUBY	4	True	3	4	1		1 TFC DE 109/204	DAS IST KEIN SCHNEESTURM Jedes Mal, wenn du einen Anna-Charakter ausspielst, mache diesen Charakter bereit. Er kann in diesem Zug nicht mehr erkunden.	Meine Schwester ist immer fur mich da gewesen. Ich muss nun fur sie da sein.	109	Alice Pisoni / Whitney Pollet
Gaston, Arrogant Hunter	1	5e796e48332af4142b10ca0f86e65d9bfdb05884	Gaston, Arroganter Jager	Character	Sagengestalt, Schurke	COMMON	RUBY	2	True	4	2	0	Impulsiv	1 TFC DE 110/204	Impulsiv (Dieser Charakter kann nicht erkunden und muss in jedem Zug herausfordern, wenn moglich.)	Es ist keine Arroganz, wenn du wirklich der Beste bist.	110	Matthew Robert Davies
Goofy, Daredevil	1	6216f8a75fd5bb3d5f22b6f9958cdede3fc086c2	Goofy, Draufganger	Character	Traumgestalt, Held	COMMON	RUBY	5	True	3	4	2	Wendig	1 TFC DE 111/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.)	Manchmal muss man den Sprung einfach wagen und Ahijak.	111	Kenneth Anderson
LeFou, Instigator	1	601ca99d55f00a2e8e736676b606a4d31d374fdd	Le Fou, Anstifter	Character	Verbundeter, Traumgestalt	RARE	RUBY	2	True	2	2	1		1 TFC DE 112/204	ENTFACHT DAS FEUER! Wenn du diesen Charakter ausspielst, mache einen Charakter deiner Wahl bereit. Er kann in diesem Zug nicht mehr erkunden.	Alles, was eine wutende Horde braucht, ist ein Stoss in die falsche Richtung.	112	Gaku Kumatori
Maleficent, Monstrous Dragon	1	e993215bfdaa515f6ea00fafc1918f549119f993	Malefiz, Monstroser Drache	Character	Schurkin, Sagengestalt, Drache	LEGENDARY	RUBY	9	True	7	5	2		1 TFC DE 113/204	DRACHENFEUER Wenn du diesen Charakter ausspielst, darfst du einen Charakter deiner Wahl verbannen.	Die neunte Regel des Schurken-Daseins: Wenn alles andere misslingt, verwandle dich in einen Drachen.	113	Luis Huerta
Maui, Hero to All	1	ecb7937db58ec9dea0c47db88463d85e81143032	Maui, Held von allen	Character	Held, Gottheit, Sagengestalt	RARE	RUBY	5	True	6	5	0	Impulsiv, Rasant	1 TFC DE 114/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.) Impulsiv (Dieser Charakter kann nicht erkunden und muss in jedem Zug herausfordern, wenn moglich.)	Also ich glaube, was du eigentlich sagen willst, ist ,Danke'.	114	Pirel / Marco Giorgianni
Mickey Mouse, Brave Little Tailor	1	efa6e44dfa0145249be273ecd84a97f534b04920	Micky Maus, Tapferes Kleines Schneiderlein	Character	Traumgestalt, Held	LEGENDARY	RUBY	8	True	5	5	4	Wendig	1 TFC DE 115/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.)	Wenn der Sieg am seidenen Faden hangt und der Stoff der Geschichte zum Zerreissen gespannt ist, eilt der schereschwingende Held heran und schnipp, schnapp, flickt er entschlossen die Dinge.	115	Nicholas Kole
Minnie Mouse, Always Classy	1	683e725c03a87baaad2623231644e944e537acab	Minnie Maus, Stets stilvoll	Character	Sagengestalt, Heldin	COMMON	RUBY	1	True	1	3	1		1 TFC DE 116/204		Ihr Gespur fur Mode lasst jedes Kleid im richtigen Licht erscheinen.	116	Kenneth Anderson
Moana, Chosen by the Ocean	1	d0e2dbb0bac1917d360aaf52c01a2a4b669e8cdb	Vaiana, Vom Ozean auserwahlt	Character	Prinzessin, Heldin, Sagengestalt	UNCOMMON	RUBY	5	True	2	6	2		1 TFC DE 117/204	DU BIST NICHT, WAS MAN SIEHT Wenn du diesen Charakter ausspielst, darfst du einen Te-Ka-Charakter deiner Wahl verbannen.	Du bestimmst, wer du bist.	117	Tanisha Cherislin
Mulan, Imperial Soldier	1	12f0de3dc76e067d21ed85125716e02e9f1e69f0	Mulan, Kaiserliche Soldatin	Character	Prinzessin, Heldin, Sagengestalt	SUPER	RUBY	5	True	4	5	1		1 TFC DE 118/204	MIT GUTEM BEISPIEL VORANGEHEN Jedes Mal, wenn dieser Charakter in deinem Zug durch eine Herausforderung einen anderen Charakter verbannt, erhalten deine anderen Charaktere in diesem Zug je +1.		118	Mel Milton
Peter Pan, Fearless Fighter 	1	a2e33d344f272e100d4a8efeabc7ae8a60a8ba7a	Peter Pan, Furchtloser Kampfer	Character	Sagengestalt, Held	COMMON	RUBY	3	False	3	2	1	Rasant	1 TFC DE 119/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.)	Wer Pan einen Feigling nennt, der muss sterben! Wir kampfen Mann gegen Mann und ich halte meine linke Hand auf dem Rucken!	119	Anh Dang
Pongo, Ol' Rascal	1	775bc5c30e27f0e562115d136e7f7edbd3cead89	Pongo, Alter Gauner	Character	Sagengestalt, Held	COMMON	RUBY	4	True	2	3	2	Wendig	1 TFC DE 120/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.)	Nun brauchte ich bloss noch einen Einfall, irgendetwas, das seine Aufmerksamkeit erregen wurde, damit die Geschichte in Gang kommt.	120	Brian Weisz
Rapunzel, Letting Down Her Hair	1	8bd7954c40c1e59a900f71ea3a266732609915b1	Rapunzel, Lasst ihr Haar herunter	Character	Prinzessin, Heldin, Traumgestalt	UNCOMMON	RUBY	6	False	5	4	2		1 TFC DE 121/204	EINWICKELN Wenn du diesen Charakter ausspielst, verlieren alle gegnerischen Mitspielenden je 1 Legende.	Wer bist du? Und wie hast du mich gefunden?	121	Clio Wolfensberger
Scar, Fiery Usurper	1	05a8ea5382b9fd885261bb3eed0527d1d3b07262	Scar, Hitzkopfiger Thronrauber	Character	Traumgestalt, Schurke	COMMON	RUBY	4	True	5	3	1		1 TFC DE 122/204		Von den Flammen des Ehrgeizes verschlungen.	122	Amber Kommavongsa
Scar, Shameless Firebrand	1	40bd001563085fc35165329ea1ff5c5ecbdbbeef	Scar, Schamloser Unruhestifter	Character	Konig, Flutgestalt, Schurke	RARE	RUBY	8	False	6	6	1	Gestaltwandel	1 TFC DE 123/204	Gestaltwandel 6 (Du kannst 6 zahlen, um diesen Charakter auf einen deiner Scar-Charaktere auszuspielen.) MITREISSENDE ANSPRACHE Wenn du diesen Charakter ausspielst, mache alle deine Charaktere, die 3 oder weniger kosten, bereit. Sie konnen in diesem Zug nicht mehr erkunden.	Die Zeit ist gekommen, um uns zu nehmen, was uns gehort!	123	Jenna Gray
Sergeant Tibbs, Courageous Cat	1	f38cfe2e2facbcc742bad63f91ad55637300cb45	Sergeant Tibs, Mutige Katze	Character	Verbundeter, Sagengestalt	COMMON	RUBY	1	True	2	2	1		1 TFC DE 124/204		Ja, Sir. Bin schon unterwegs, Sir.	124	Cory Godbey
Stitch, Abomination	1	0ca9277f91e40054767f69afeb0426711ca0fddd	Stitch, Scheusal	Character	Alien, Held, Sagengestalt	RARE	RUBY	6	True	4	6	3		1 TFC DE 125/204		Sein Zerstorungsprogramm zeigt Wirkung. Ab sofort ist er fixiert auf Grossstadte, wo er verstopft Kanalisation, verdreht Strassenschilder und von allen Leuten stiehlt linken Schuh. -- Jamba Jookiba	125	Bill Robinson
Te Ka, The Burning One	1	114d4eefde1dae3983e7a79f04c72feb9a3a7efd	Te Ka, Brandgefahrlich	Character	Gottheit, Sagengestalt, Schurkin	SUPER	RUBY	6	False	8	6	0	Impulsiv	1 TFC DE 126/204	Impulsiv (Dieser Charakter kann nicht erkunden und muss in jedem Zug herausfordern, wenn moglich.)	Die Flammen ihres Zorns sind Zeichen ihres Verlusts.	126	Kamil Murzyn
Tigger, Wonderful Thing	1	008451a05e1e7aa32c75119df950d405265e0904	Tigger, Superste Sache	Character	Tigger, Sagengestalt	UNCOMMON	RUBY	6	True	4	4	2	Wendig	1 TFC DE 127/204	Wendig (Nur Charaktere mit Wendig konnen diesen Charakter herausfordern.)	Ich bin der sprungtastischste Springer, der jemals gesprungen ist!	127	Kenneth Anderson
Be Prepared	1	b4182bff4b3cf75f9e54f4990f9bd153c0c2973c	Seid bereit!	Action	Lied	RARE	RUBY	7	False					1 TFC DE 128/204	(Du kannst einen Charakter, der 7 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Verbanne alle Charaktere.	Uns're Zahne sind blank wie sein Neid!	128	Jared Nickerl
Cut to the Chase	1	8b7471f4ae0bf59f5f0a425068c05d96f4801b9e	Mit schnellen Schnitten	Action		UNCOMMON	RUBY	2	True					1 TFC DE 129/204	Ein Charakter deiner Wahl erhalt in diesem Zug Rasant. (Der Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.)	Uberraschung!	129	Ellie Horie
Dragon Fire	1	2a7541babb57434e5631ffa2b5639e24f8ce84fc	Drachenfeuer	Action		UNCOMMON	RUBY	5	False					1 TFC DE 130/204	Verbanne einen Charakter deiner Wahl.	Es gibt kaum Helden, die dem Zorn eines Drachen trotzen konnen.	130	Luis Huerta
Fan the Flames	1	e794a80eb109162d579df51db6d52e223bb0e9be	Entfacht das Feuer!	Action		UNCOMMON	RUBY	1	True					1 TFC DE 131/204	Mache einen Charakter deiner Wahl bereit. Er kann in diesem Zug nicht mehr erkunden.	Hubsche Worte konnen eine Menge bewegen -- hassliche aber auch.	131	Jenna Gray
