Name	Set	ImageFile	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Mad Hatter, Gracious Host	1	3c26dffc8a2e8804dfe2c8a1195cfaa5ef6d0014	Character	["Storyborn"]	UNCOMMON	EMERALD	5	False	2	4	3	[]	1 TFC EN 86/204	TEA PARTY Whenever this character is challenged, you may draw a card.	Mad Hatter: Would you like a little more tea? Alice: I haven’t had any yet, so I can’t very well take more.	86	Rosa la Barbera
Megara, Pulling the Strings	1	e62d7f1eb43d87c202d2f164ba61297e71be80f4	Character	["Ally", "Dreamborn"]	COMMON	EMERALD	2	False	2	1	1	[]	1 TFC EN 87/204	WONDER BOY When you play this character, chosen character gets +2 this turn.	A deal’s a deal. But falling in love was never supposed to be part of it.	87	Aubrey Archer
Mickey Mouse, Artful Rogue	1	b37f6ddcefad7e8657837d3177f9ef2462f98acf	Character	["Hero", "Floodborn"]	SUPER	EMERALD	7	False	6	5	2	["Shift"]	1 TFC EN 88/204	'Shift 5 (You may pay 5 to play this on top of one of your characters named Mickey Mouse.) MISDIRECTION Whenever you play an action, chosen opposing character can''t quest during their next turn.'	Quiet as a... well, you know.	88	Alex Accorsi / Kendall Hale
Mickey Mouse, Steamboat Pilot	1	16b06bd9b738835e2d134fe8d596e9ab0086a985	Character	["Storyborn", "Hero", "Captain"]	COMMON	EMERALD	3	False	3	4	1	[]	1 TFC EN 89/204		'On rivers throughout the Inklands, the little steamboat''s whistle answers the cheery tunes of its pilot.'	89	Juan Diego Leon
Mother Gothel, Selfish Manipulator	1	2d0c8af807ef45ac17cafb2973d866ba8f38caa9	Character	["Villain", "Storyborn"]	SUPER	EMERALD	6	False	3	6	2	[]	1 TFC EN 90/204	'SKIP THE DRAMA, STAY WITH MAMA While this character is exerted, opposing characters can''t quest.'	Great. Now I’m the bad guy.	90	Javier Salas
Peter Pan, Never Landing	1	4cd66dfabbd964f8c6c4414b07cdb45dae692e19	Character	["Hero", "Dreamborn"]	COMMON	EMERALD	3	True	3	2	1	["Evasive"]	1 TFC EN 91/204	Evasive (Only characters with Evasive can challenge this character.)	What’s the matter, Hook? Can’t you fly?	91	Koni
Tamatoa, Drab Little Crab	1	8ee51caaa2c2f4ee2e5b4b7ef5a89db7df1068d7	Character	["Dreamborn"]	UNCOMMON	EMERALD	2	True	1	4	1	[]	1 TFC EN 92/204		Someday, I’ll grow up to be the most crabulous crustacean the world has ever seen!	92	Jeff Murchie
Tinker Bell, Most Helpful	1	08a35293e09f508494096c1c1b3819edb9df50db	Character	["Storyborn", "Ally", "Fairy"]	COMMON	EMERALD	4	True	2	3	2	["Evasive"]	1 TFC EN 93/204	Evasive (Only characters with Evasive can challenge this character.) PIXIE DUST When you play this character, chosen character gains Evasive this turn.		93	Caner Soylu
Do It Again!	1	215bb47da8fac3342b858ac3db09b033c6c46e0b	Action	[]	RARE	EMERALD	3	False				[]	1 TFC EN 94/204	Return an action card from your discard to your hand.	'... Then scrub the terrace, sweep the halls and the stairs, clean the chimneys. And of course there''s the mending, and the sewing, and the laundry. . . —Lady Tremaine'	94	Ellie Horie
Mother Knows Best	1	8e63fd3e77796b102589b1ba1e4441c7982e4132	Action	["Song"]	UNCOMMON	EMERALD	3	False				[]	1 TFC EN 95/204	'(A character with cost 3 or more can to sing this song for free.) Return chosen character to their player''s hand.'	One way or another Something will go wrong, I swear	95	R. La Barbera / L. Giammichele
Stampede	1	6fb84aed32facd1299ee1e77c8fd2b1a6352669e	Action	[]	COMMON	EMERALD	1	False				[]	1 TFC EN 96/204	Deal 2 damage to chosen damaged character.	A wildebeest stampede is like a raging river: best experienced from a distance.	96	Matt Chapman
Steal from the Rich	1	812ed4562d3211363a7b813aa9cd2cf042b63bb2	Action	[]	RARE	EMERALD	5	False				[]	1 TFC EN 97/204	Whenever one of your characters quests this turn, each opponent loses 1 lore.	Wonder how much ol’ Prince John spent on all those fancy locks. —Little John	97	Hedvig Häggman-Sund
Sudden Chill	1	31bd9b9f5f7b338e41b56183a2f3008b541d7c84	Action	["Song"]	COMMON	EMERALD	2	True				[]	1 TFC EN 98/204	(A character with cost 2 or more can to sing this song for free.) Each opponent chooses and discards a card.	'Cruella De Vil, Cruella De Vil If she doesn''t scare you, no evil thing will'	98	Giulia Riva
The Beast is Mine!	1	9a79be611e0267e1d943da0737c6c51be67865a0	Action	[]	UNCOMMON	EMERALD	3	False				[]	1 TFC EN 99/204	'Chosen character gains Reckless during their next turn. (They can''t quest and must challenge if able.)'	'It''s only fitting that the finest hunter gets the foulest beast! —Gaston'	99	Matthew Robert Davies
Vicious Betrayal	1	310b86e0b62b828562fc91c7be5380a992b2786a	Action	[]	COMMON	EMERALD	1	False				[]	1 TFC EN 100/204	Chosen character gets +2 this turn. If a Villain character is chosen, they get +3 instead.	A true king takes matters into his own claws. —Scar	100	Michaela Martin
Dr. Facilier’s Cards	1	dbc0f004854457f59fb16ab863a3a1722cef553f	Item	[]	UNCOMMON	EMERALD	2	False				[]	1 TFC EN 101/204	THE CARDS WILL TELL less for the next action you play this turn.	Take a little trip into your future with me! —Dr. Facilier	101	Koni
Stolen Scimitar	1	c8306ae139ac98f432932286151dc0ec55580eca	Item	[]	COMMON	EMERALD	2	False				[]	1 TFC EN 102/204	SLASH this turn. If a character named Aladdin is chosen, he gets +2 instead.	'Sometimes you''ve got to take what you can get.'	102	Kendall Hale
Abu, Mischievous Monkey	1	934385f53d1bd0c1b8493e44d0dfd4c8e88a04bb	Character	["Ally", "Storyborn"]	COMMON	RUBY	3	False	3	2	2	[]	1 TFC EN 103/204		'Someday, Abu, things are gonna change. We''ll be rich, live in a palace, and never have any problems at all. —Aladdin'	103	Oleg Yurkov
Aladdin, Heroic Outlaw	1	78a8efcbaaa1a9a30f9f327aa89d0b6acaaffb03	Character	["Hero", "Floodborn"]	SUPER	RUBY	7	True	5	5	2	["Shift"]	1 TFC EN 104/204	Shift 5 (You may pay 5 to play this on top of one of your characters named Aladdin.) DARING EXPLOIT During your turn, whenever this character banishes another character in a challenge, you gain 2 lore and each opponent loses 2 lore.		104	Nicholas Kole
Aladdin, Street Rat	1	e114c448f4ab8554ad14eff3d66dfeb3965ce8fc	Character	["Hero", "Storyborn"]	COMMON	RUBY	3	False	2	2	1	[]	1 TFC EN 105/204	IMPROVISE When you play this character, each opponent loses 1 lore.	It can be hard to tell the difference between a diamond in the rough and someone who’s just, well, rough.	105	Peter Brockhammer
Captain, Colonel’s Lieutenant	1	7224f997fc148baa0b7f81c1eda6fcc3fd003db0	Character	["Storyborn", "Ally", "Captain"]	UNCOMMON	RUBY	5	False	6	5	1	[]	1 TFC EN 106/204		Barking signal. It’s an alert. Report to the Colonel at once!	106	Brian Weisz
Captain Hook, Ruthless Pirate	1	524e05dc77239f3a15dab766aaa59a9e432efde7	Character	["Storyborn", "Pirate", "Villain", "Captain"]	RARE	RUBY	7	False	5	5	2	["Rush"]	1 TFC EN 107/204	'Rush (This character can challenge the turn they''re played.) YOU COWARD! While this character is exerted, opposing characters with Evasive gain Reckless. (They can''t quest and must challenge if able.)'	You wouldn’t dare fight old Hook man-to-man!	107	Cam Kendell
Donald Duck, Boisterous Fowl	1	17503a6b2326f09fbc4e3a7c03874c7333002038	Character	["Storyborn"]	UNCOMMON	RUBY	2	True	2	3	1	[]	1 TFC EN 108/204		Who you callin’ boisterous, buster?	108	Kenneth Anderson
Elsa, Ice Surfer	1	a1422e6a168630cdd214ac5e31ca01ae1bee8d92	Character	["Sorcerer", "Queen", "Hero", "Dreamborn"]	COMMON	RUBY	4	True	3	4	1	[]	1 TFC EN 109/204	'THAT''S NO BLIZZARD Whenever you play a character named Anna, ready this character. This character can''t quest for the rest of this turn.'	My sister has always been there for me. I need to be there for her.	109	Alice Pisoni /Whitney Pollett
Gaston, Arrogant Hunter	1	5e796e48332af4142b10ca0f86e65d9bfdb05884	Character	["Villain", "Storyborn"]	COMMON	RUBY	2	False	4	2	0	["Reckless"]	1 TFC EN 110/204	'Reckless (This character can''t quest and must challenge each turn if able.)'	It’s not arrogance when you really are the best.	110	Matthew Robert Davies                
Goofy, Daredevil	1	6216f8a75fd5bb3d5f22b6f9958cdede3fc086c2	Character	["Hero", "Dreamborn"]	COMMON	RUBY	5	False	3	4	2	["Evasive"]	1 TFC EN 111/204	Evasive (Only characters with Evasive can challenge this character.)	Sometimes you gotta give it the ol’ jump and hyuck.	111	Kenneth Anderson
LeFou, Instigator	1	601ca99d55f00a2e8e736676b606a4d31d374fdd	Character	["Ally", "Dreamborn"]	RARE	RUBY	2	False	2	2	1	[]	1 TFC EN 112/204	'FAN THE FLAMES When you play this character, ready chosen character. They can''t quest for the rest of this turn.'	All a mob needs is a push in the wrong direction.	112	Gaku Kumatori
Maleficent, Monstrous Dragon	1	e993215bfdaa515f6ea00fafc1918f549119f993	Character	["Storyborn", "Villain", "Dragon"]	LEGENDARY	RUBY	9	True	7	5	2	[]	1 TFC EN 113/204	DRAGON FIRE When you play this character, you may banish chosen character.	The ninth Rule of Villainy: When all else fails, turn into a dragon.	113	Luis Huerta
Maui, Hero to All	1	ecb7937db58ec9dea0c47db88463d85e81143032	Character	["Storyborn", "Deity", "Hero"]	RARE	RUBY	5	False	6	5	0	["Rush", "Reckless"]	1 TFC EN 114/204	'Rush (This character can challenge the turn they''re played.) Reckless (This character can''t quest and must challenge each turn if able.)'	What I believe you were trying to say is ‘Thank you.’	114	Pirel / Marco Giorgianni
Mickey Mouse, Brave Little Tailor	1	efa6e44dfa0145249be273ecd84a97f534b04920	Character	["Hero", "Dreamborn"]	LEGENDARY	RUBY	8	True	5	5	4	["Evasive"]	1 TFC EN 115/204	Evasive (Only characters with Evasive can challenge this character.)	When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination.	115	Nicholas Kole
Minnie Mouse, Always Classy	1	683e725c03a87baaad2623231644e944e537acab	Character	["Hero", "Storyborn"]	COMMON	RUBY	1	False	1	3	1	[]	1 TFC EN 116/204		Her fashion sense is always spot on.	116	Kenneth Anderson
Moana, Chosen by the Ocean	1	d0e2dbb0bac1917d360aaf52c01a2a4b669e8cdb	Character	["Storyborn", "Princess", "Hero"]	UNCOMMON	RUBY	5	True	2	6	2	[]	1 TFC EN 117/204	THIS IS NOT WHO YOU ARE When you play this character, you may banish chosen character named Te Kā.	You know who you are.	117	Tanisha Cherislin
Mulan, Imperial Soldier	1	12f0de3dc76e067d21ed85125716e02e9f1e69f0	Character	["Storyborn", "Princess", "Hero"]	SUPER	RUBY	5	True	4	5	1	[]	1 TFC EN 118/204	LEAD BY EXAMPLE During your turn, whenever this character banishes another character in a challenge, your other characters get +1 this turn.		118	Mel Milton
Peter Pan, Fearless Fighter 	1	a2e33d344f272e100d4a8efeabc7ae8a60a8ba7a	Character	["Hero", "Storyborn"]	COMMON	RUBY	3	False	3	2	1	["Rush"]	1 TFC EN 119/204	'Rush (This character can challenge the turn they''re played.)'	Nobody calls Pan a coward and lives! I’ll fight you man-to-man, with one hand behind my back.	119	Anh Dang
Pongo, Ol’ Rascal	1	775bc5c30e27f0e562115d136e7f7edbd3cead89	Character	["Hero", "Storyborn"]	COMMON	RUBY	4	False	2	3	2	["Evasive"]	1 TFC EN 120/204	Evasive (Only characters with Evasive can challenge this character.)	At first I had no particular plan, just anything to attract attention. You know, stir things up a bit.	120	Brian Weisz
Rapunzel, Letting Down Her Hair	1	8bd7954c40c1e59a900f71ea3a266732609915b1	Character	["Princess", "Dreamborn", "Hero"]	UNCOMMON	RUBY	6	False	5	4	2	[]	1 TFC EN 121/204	TANGLE When you play this character, each opponent loses 1 lore.	Who are you? And how did you find me?	121	Clio Wolfensberger
Scar, Fiery Usurper	1	05a8ea5382b9fd885261bb3eed0527d1d3b07262	Character	["Villain", "Dreamborn"]	COMMON	RUBY	4	False	5	3	1	[]	1 TFC EN 122/204		Consumed by the flames of ambition.	122	Amber Kommavongsa
Scar, Shameless Firebrand	1	40bd001563085fc35165329ea1ff5c5ecbdbbeef	Character	["Floodborn", "Villain", "King"]	RARE	RUBY	8	False	6	6	1	["Shift"]	1 TFC EN 123/204	'Shift 6 (You may pay 6 to play this on top of one of your characters named Scar.) ROUSING SPEECH When you play this character, ready your characters with cost 3 or less. They can''t quest for the rest of this turn.'	The time has come to take what is ours!	123	Jenna Gray
Sergeant Tibbs, Courageous Cat	1	f38cfe2e2facbcc742bad63f91ad55637300cb45	Character	["Ally", "Storyborn"]	COMMON	RUBY	1	False	2	2	1	[]	1 TFC EN 124/204		Yes, sir. Righto, sir. Right away, sir!	124	Cory Godbey
Stitch, Abomination	1	0ca9277f91e40054767f69afeb0426711ca0fddd	Character	["Storyborn", "Hero", "Alien"]	RARE	RUBY	6	False	4	6	3	[]	1 TFC EN 125/204		'His destructive programming is taking effect. He will be irresistibly drawn to large cities, where he will back up sewers, reverse street signs, and steal everyone''s left shoe. —Jumba Jookiba'	125	Bill Robinson
Te Kā, The Burning One	1	114d4eefde1dae3983e7a79f04c72feb9a3a7efd	Character	["Storyborn", "Villain", "Deity"]	SUPER	RUBY	6	False	8	6	0	["Reckless"]	1 TFC EN 126/204	'Reckless (This character can''t quest and must challenge each turn if able.)'	She burns for that which was stolen from her.	126	Kamil Murzyn
Tigger, Wonderful Thing	1	008451a05e1e7aa32c75119df950d405265e0904	Character	["Tigger", "Storyborn"]	UNCOMMON	RUBY	6	False	4	4	2	["Evasive"]	1 TFC EN 127/204	Evasive (Only characters with Evasive can challenge this character.)	I’m the bounciest bouncer that ever bounced!	127	Kenneth Anderson
Be Prepared	1	b4182bff4b3cf75f9e54f4990f9bd153c0c2973c	Action	["Song"]	RARE	RUBY	7	False				[]	1 TFC EN 128/204	(A character with cost 7 or more can to sing this song for free.) Banish all characters.	Our teeth and ambitions are bared!	128	Jared Nickerl
Cut to the Chase	1	8b7471f4ae0bf59f5f0a425068c05d96f4801b9e	Action	[]	UNCOMMON	RUBY	2	True				[]	1 TFC EN 129/204	'Chosen character gains Rush this turn. (They can challenge the turn they''re played.)'	Surprise!	129	Ellie Horie
Dragon Fire	1	2a7541babb57434e5631ffa2b5639e24f8ce84fc	Action	[]	UNCOMMON	RUBY	5	False				[]	1 TFC EN 130/204	Banish chosen character.	Rare is the hero who can withstand a dragon’s wrath.	130	Luis Huerta
Fan the Flames	1	e794a80eb109162d579df51db6d52e223bb0e9be	Action	[]	UNCOMMON	RUBY	1	False				[]	1 TFC EN 131/204	'Ready chosen character. They can''t quest for the rest of this turn.'	Pretty words can move a crowd, but so can ugly ones.	131	Jenna Gray
'He''s Got a Sword!'	1	91dfde1d6e005e422f64a59776234f1f4c80b5e4	Action	[]	COMMON	RUBY	1	False				[]	1 TFC EN 132/204	Chosen character gets +2 this turn.	'We''ve all got swords! —Razoul'	132	Koni
Tangle	1	d30f79cf7fef47bd7a5611719f936539bec0d2e9	Action	[]	COMMON	RUBY	2	True				[]	1 TFC EN 133/204	Each opponent loses 1 lore.	Stay right there! I mean, you don’t have a choice, I guess. But still! Don’t move! —Rapunzel	133	Eri Welli
Poisoned Apple	1	95e815d1541bf6f358cfffbe66ab3af0d0c09d09	Item	[]	RARE	RUBY	3	False				[]	1 TFC EN 134/204	TAKE A BITE. . . 1 , Banish this item Exert chosen character. If a Princess character is chosen, banish her instead.	One taste of the poisoned apple, and the victim’s eyes will close forever.. .. —The Queen	134	Andrew Trabbold
Shield of Virtue	1	40f7c01f4189510031adccd9c604a128adaf9b00	Item	[]	UNCOMMON	RUBY	1	False				[]	1 TFC EN 135/204	'FIREPROOF Ready chosen character. They can''t quest for the rest of this turn.'	Arm thyself with this enchanted Shield of Virtue and this mighty Sword of Truth, for these weapons of righteousness will triumph over evil. —Flora	135	Eri Welli
Sword of Truth	1	9e071a3a594a8964cbefe784f8a6afaa94c0de17	Item	[]	RARE	RUBY	4	False				[]	1 TFC EN 136/204	FINAL ENCHANTMENT Banish this item Banish chosen Villain character.	Almost as powerful as True Love’s Kiss.	136	Andrew Trabbold
Ariel, Whoseit Collector	1	e1a864f0b77f6c89794827a9035355dc8d052622	Character	["Storyborn", "Princess", "Hero"]	RARE	SAPPHIRE	4	False	3	3	1	[]	1 TFC EN 137/204	LOOK AT THIS STUFF Whenever you play an item, you may ready this character.	You want thingamabobs? I got twenty.	137	Hedvig Häggman-Sund
Aurora, Briar Rose	1	56ad4d4deaec98465c419b4a8ea7bfc1ed38c4d9	Character	["Storyborn", "Princess", "Hero"]	COMMON	SAPPHIRE	4	False	2	5	1	[]	1 TFC EN 138/204	DISARMING BEAUTY When you play this character, chosen character gets –2 this turn.	There was something strange about that voice. Too beautiful to be real... —Prince Phillip	138	Rosalia Radosti
Aurora, Dreaming Guardian	1	fa755791d0509bb06ae715a2072de724815ed84d	Character	["Princess", "Hero", "Floodborn"]	SUPER	SAPPHIRE	5	True	3	5	2	["Shift"]	1 TFC EN 139/204	'Shift 3 (You may pay 3 to play this on top of one of your characters named Aurora.) PROTECTIVE EMBRACE Your other characters gain Ward. (Opponents can''t choose them except to challenge.)'	As the princess slumbered, her power awoke.	139	Nicholas Kole
Aurora, Regal Princess	1	c28aca23f1ef3718a464383d925c66842078edaa	Character	["Storyborn", "Princess", "Hero"]	UNCOMMON	SAPPHIRE	2	True	2	2	2	[]	1 TFC EN 140/204		'They say if you dream a thing more than once, it''s sure to come true!'	140	Samanta Erdini
Belle, Inventive Engineer	1	c9ca442765657fc90e9e779c34d0d2259d2c3c5b	Character	["Princess", "Hero", "Dreamborn", "Inventor"]	UNCOMMON	SAPPHIRE	3	False	2	3	2	[]	1 TFC EN 141/204	TINKER Whenever this character quests, you pay 1 less for the next item you play this turn.	A little ingenuity and a lot of heart will take you far in this world.	141	Gabriel Romero
Belle, Strange but Special	1	2a2b47bf21a372f267deccbb420567f3d450b3c0	Character	["Storyborn", "Princess", "Hero"]	LEGENDARY	SAPPHIRE	4	False	2	4	1	[]	1 TFC EN 142/204	READ A BOOK During your turn, you may put an additional card from your hand into your inkwell facedown. MY FAVORITE PART! While you have 10 or more cards in your inkwell, this character gets +4.	Far-off places, daring sword fights, magic spells, a prince in disguise.. .	142	Alice Pisoni
Chief Tui, Respected Leader	1	f47aea8bdcbd1179a1f3d91e6afeeb259488f2d1	Character	["Storyborn", "Mentor", "King"]	UNCOMMON	SAPPHIRE	7	False	3	6	3	["Support"]	1 TFC EN 143/204	'Support (Whenever this character quests, you may add their to another chosen character''s this turn.)'	You can always rely on the strength of those who love you.	143	Pirel
Donald Duck, Strutting His Stuff	1	7320828c9153b2a9848d6bc45d3544236b22fc48	Character	["Inventor", "Dreamborn", "Hero"]	COMMON	SAPPHIRE	5	False	4	3	2	["Ward"]	1 TFC EN 144/204	'Ward (Opponents can''t choose this character except to challenge.)'	Walk smarter, not harder.	144	Cam Kendell
Flounder, Voice of Reason	1	50336bc687eb161ee9fb0ddb8cf2b7e65bad865f	Character	["Ally", "Storyborn"]	COMMON	SAPPHIRE	1	False	2	2	1	[]	1 TFC EN 145/204		Excitement. . . adventure. . . danger lurking around every cor— AAAAAGGH!	145	Brian Weisz
Gramma Tala, Storyteller	1	3fcfb99ec010d4a8ba364f43169465d91ca39ada	Character	["Mentor", "Storyborn"]	UNCOMMON	SAPPHIRE	2	False	1	1	1	[]	1 TFC EN 146/204	I WILL BE WITH YOU When this character is banished, you may put this card into your inkwell facedown and exerted.	Moana: Is there something you want to tell me? Gramma Tala: Is there something you want to hear?	146	Filipe Laurentino
Hades, Infernal Schemer	1	b3c0730cf3f50613e40561e67c871fdb92820cf9	Character	["Villain", "Deity", "Dreamborn"]	LEGENDARY	SAPPHIRE	7	False	3	6	2	[]	1 TFC EN 147/204	'IS THERE A DOWNSIDE TO THIS? When you play this character, you may put chosen opposing character into their player''s inkwell facedown.'	'He''s gotta have a weakness, because everybody''s got a weakness.'	147	Matthew Robert Davies
Jasmine, Disguised	1	536fb6934062440c464ca2eef82b0be8e6b36cc8	Character	["Storyborn", "Princess"]	COMMON	SAPPHIRE	3	False	3	3	2	[]	1 TFC EN 148/204		Try to understand. I’ve never done a thing on my own. I’ve never had any real friends.. . . I’ve never even been outside the palace walls.	148	R. La Barbera / L. Giammichele
Jasmine, Queen of Agrabah	1	39dfc9ffd3253c48c9af5dd55c4b3e4b4b5e6229	Character	["Floodborn", "Princess", "Queen", "Hero"]	RARE	SAPPHIRE	5	True	2	5	2	["Shift"]	1 TFC EN 149/204	Shift 3 (You may pay 3 to play this on top of one of your characters named Jasmine.) CARETAKER When you play this character and whenever she quests, you may remove up to 2 damage from each of your characters.		149	Filipe Laurentino
Maleficent, Sinister Visitor	1	13682ac418603aa0966369d46bbf282f562acf47	Character	["Storyborn", "Villain", "Sorcerer"]	COMMON	SAPPHIRE	4	False	3	4	2	[]	1 TFC EN 150/204		The princess shall indeed grow in grace and beauty, beloved by all who know her. But before the sun sets on her sixteenth birthday, she shall prick her finger on the spindle of a spinning wheel.. . .	150	Nicholas Kole
Maleficent, Uninvited	1	b16a457a3302d7c1f4563df2ffc96dccf3779af7	Character	["Villain", "Dreamborn", "Sorcerer"]	RARE	SAPPHIRE	5	False	3	6	3	[]	1 TFC EN 151/204		She had no invitation—and needed no introduction.	151	Gaku Kumatori
Maurice, World-Famous Inventor	1	ac2646028f5b8b9bbf7a967f4ac71b8866135211	Character	["Inventor", "Mentor", "Dreamborn"]	RARE	SAPPHIRE	6	False	2	7	2	[]	1 TFC EN 152/204	GIVE IT A TRY Whenever this character quests, you pay 2 less for the next item you play this turn. IT WORKS! Whenever you play an item, you may draw a card.		152	Alex Accorsi
Merlin, Self-Appointed Mentor	1	a6f16ab483da9847d431a822e6c85e144dc54f30	Character	["Mentor", "Dreamborn", "Sorcerer"]	COMMON	SAPPHIRE	4	False	3	4	1	["Support"]	1 TFC EN 153/204	'Support (Whenever this character quests, you may add their to another chosen character''s this turn.)'	What a mess! What a medieval muddle! We’ll have to modernize it.	153	Dave Beauchene
Mickey Mouse, Detective	1	06349be70bd2d5dd98d36b9b8dba0a057500fdac	Character	["Detective", "Dreamborn", "Hero"]	COMMON	SAPPHIRE	3	False	1	3	1	[]	1 TFC EN 154/204	GET A CLUE When you play this character, you may put the top card of your deck into your inkwell facedown and exerted.	Wherever the seaweed had come from, Mickey was sure of one thing: something fishy was going on.	154	Jared Nickerl
Mufasa, King of the Pride Lands	1	9d8974baddfc0e53300829f37e5fc88b0f5ce61b	Character	["Storyborn", "Mentor", "King"]	COMMON	SAPPHIRE	6	False	4	6	3	[]	1 TFC EN 155/204		A king must care for all of the creatures in his kingdom, no matter their size.	155	Luis Huerta
Philoctetes, Trainer of Heroes	1	6052521b7625e31d4ee9cc706732484fcf850877	Character	["Mentor", "Storyborn"]	COMMON	SAPPHIRE	2	False	3	1	1	["Support"]	1 TFC EN 156/204	'Support (Whenever this character quests, you may add their to another chosen character''s this turn.)'	Ya gotta be the best to train the best. And I train the best!	156	Leonardo Giammichele
Robin Hood, Unrivaled Archer	1	097ccd4f03d962011101c1221009e53461a0993f	Character	["Hero", "Storyborn"]	SUPER	SAPPHIRE	6	True	4	4	2	[]	1 TFC EN 157/204	FEED THE POOR When you play this character, if an opponent has more cards in their hand than you, draw a card. GOOD SHOT During your turn, this character gains Evasive. (They can challenge characters with Evasive.)	We never rob. We just sort of borrow a bit from those who can afford it.	157	John Loren
Scar, Mastermind	1	a3d12597f93e80f7f6a229cebb1c3e10d4f34ec3	Character	["Villain", "Storyborn"]	RARE	SAPPHIRE	6	False	5	4	2	[]	1 TFC EN 158/204	INSIDIOUS PLOT When you play this character, chosen opposing character gets –5 this turn.	The best plans involve a little danger. Just not for me.	158	Bill Robinson
Tamatoa, So Shiny!	1	6b6277afcb65d33525545904e95c2fa240632660	Character	["Villain", "Storyborn"]	SUPER	SAPPHIRE	8	False	5	8	1	[]	1 TFC EN 159/204	WHAT HAVE WE HERE? When you play this character and whenever he quests, you may return an item card from your discard to your hand. GLAM This character gets +1 for each item you have in play.	Watch me dazzle like a diamond in the rough!	159	Leonardo Giammichele
Triton, The Sea King	1	be057d4ca44c10a0fc1dfcffd99cce1490291dc7	Character	["Storyborn", "King"]	UNCOMMON	SAPPHIRE	7	False	5	9	2	[]	1 TFC EN 160/204		Isn’t ‘Because I said so’ enough of a reason?	160	Cristian Romero
Develop Your Brain	1	0159a99ed28b0581890608d24ada9decc4874197	Action	[]	COMMON	SAPPHIRE	1	True				[]	1 TFC EN 161/204	Look at the top 2 cards of your deck. Put one into your hand and the other on the bottom of the deck.	Knowledge, wisdom—there’s the real power! —Merlin	161	Pao Yong
If it’s Not Baroque	1	ae1e7198bc3074ff1b2e9ff520c30bc1898d038e	Action	[]	RARE	SAPPHIRE	3	False				[]	1 TFC EN 162/204	Return an item card from your discard to your hand.	'. . . Don''t fix it.'	162	Kenneth Anderson
Let It Go	1	fd93751649ac3ea8f8772ba49c8c1fe068002835	Action	["Song"]	RARE	SAPPHIRE	5	True				[]	1 TFC EN 163/204	'(A character with cost 5 or more can to sing this song for free.) Put chosen character into their player''s inkwell facedown and exerted.'	It’s time to see what I can do To test the limits and break through	163	Milica Celikovic
One Jump Ahead	1	a929eb33e338738d2a91e955ce7623764480253c	Action	["Song"]	UNCOMMON	SAPPHIRE	2	False				[]	1 TFC EN 164/204	(A character with cost 2 or more can to sing this song for free.) Put the top card of your deck into your inkwell facedown and exerted.	Gotta eat to live, gotta steal to eat— Tell you all about it when I got the time	164	Bill Robinson
Work Together	1	74cbd2c215c2c13c4b6110ada96de8891b355dda	Action	[]	COMMON	SAPPHIRE	1	False				[]	1 TFC EN 165/204	Chosen character gains Support this turn. (Whenever they quest, you may add their this turn.)	Pasha: Put your whole back into it! Kuzco: This is my whole back!	165	Bill Robinson
Coconut Basket	1	69e56976fc9bee70c1d2eaa85c0c8dea9f722a2f	Item	[]	UNCOMMON	SAPPHIRE	2	False				[]	1 TFC EN 166/204	CONSIDER THE COCONUT Whenever you play a character, you may remove up to 2 damage from chosen character.	The coconut is a versatile gift from the gods, used to make nearly everything—including baskets to carry more coconuts.	166	Milica Celikovic
Eye of the Fates	1	708a77db476d737e54b8bf4663fc79b346d696d2	Item	[]	UNCOMMON	SAPPHIRE	4	True				[]	1 TFC EN 167/204	SEE THE FUTURE this turn.	'You can change the future once you know what you''re looking at.'	167	Ron Baird
Fishbone Quill	1	f76b2ea6b45eff3bc8e4399145cc17a0601f5c8d	Item	[]	RARE	SAPPHIRE	3	False				[]	1 TFC EN 168/204	GO AHEAD AND SIGN Put any card from your hand into your inkwell facedown.	'If you want to cross the bridge, my sweet, you''ve got to pay the toll. —Ursula'	168	Tanisha Cherislin
Magic Golden Flower	1	2659fc519890c924f82b4475ddd71b058178d02b	Item	[]	COMMON	SAPPHIRE	1	False				[]	1 TFC EN 169/204	HEALING POLLEN Banish this item Remove up to 3 damage from chosen character.	Once upon a time, a single drop of sunlight fell from the heavens.. . . —Flynn Rider	169	Cory Godbey
Scepter of Arendelle	1	717b2f3d8816830549097908c134e1729c516542	Item	[]	UNCOMMON	SAPPHIRE	1	True				[]	1 TFC EN 170/204	COMMAND Chosen character gains Support this turn. (Whenever they quest, you may add their this turn.)		170	Grace Tran
Aladdin, Cornered Swordsman	1	94940e534aedd3f6d9bb77c6322f6641dbb7432a	Character	["Hero", "Storyborn"]	COMMON	STEEL	2	True	2	1	2	[]	1 TFC EN 171/204		Oh ho! So the street rat found a sword and a backbone! —Razoul	171	Randy Bishop
Beast, Hardheaded	1	c1aa04bf421e5b38c3d18933e9994d3f289def65	Character	["Storyborn", "Prince", "Hero"]	UNCOMMON	STEEL	5	True	4	4	2	[]	1 TFC EN 172/204	BREAK When you play this character, you may banish chosen item.	She’ll never see me as anything. . . but a monster.	172	Michael "Cookie" Niewiadomy
